browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,146.0.0.0,1710,1107,MacOS,en-GB,2026-04-24_14:03:47,2026-04-24_15:03:47,2026-04-11_20:08:30,https://www.testable.org/experiment/20465/792481/start,119.312

rowNo,type,stim1,textColor,key,condition1,condition2,feedback,stimFormat,ITI,keyboard,random,head,responseType,responseOptions,responseOther,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"3",test,RED,red,left,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! You responded in %RT%,word,"800",up left right down,"","","","","",800,48,"16.66",8462,left,758,"1",""
"4",test,RED,green,right,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! You responded in %RT%,word,"800",up left right down,"","","","","",800,48,"16.67",11463,right,845,"1",""
"5",test,BLUE,blue,up,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! The word is BLUE but it was in green. You responded in %RT%,word,"800",up left right down,"","","","","",800,48,"16.66",13407,up,555,"1",""
"6",test,BLUE,yellow,down,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! You responded in %RT%,word,"800",up left right down,"","","","","",800,48,"16.67",15373,down,655,"1",""
"7",test,GREEN,green,right,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! The word is GREEN but it was in red. You responded in %RT%,word,"800",up left right down,"","","","","",800,48,"16.67",17507,right,871,"1",""
"8",test,GREEN,red,left,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! You responded in %RT%,word,"800",up left right down,"","","","","",800,48,"16.67",20055,left,1270,"1",""
"9",test,YELLOW,yellow,down,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! The word is BLUE but it was in green. You responded in %RT%,word,"800",up left right down,"","","","","",800,48,"16.67",23227,down,1927,"1",""
"10",test,YELLOW,blue,up,practice,"",correct: That’s correct! You responded in %RT% milliseconds; incorrect: That's incorrect! The word is GREEN but it was in red. You responded in %RT%,word,"800",up left right down,"","","","","",799,48,"16.65",25704,up,1135,"1",""
"21",test,BLUE,red,left,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",29342,left,757,"1",""
"15",test,RED,green,right,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",30606,right,474,"1",""
"22",test,BLUE,green,right,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.66",31899,right,497,"1",""
"27",test,GREEN,red,left,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.66",33398,left,696,"1",""
"33",test,YELLOW,red,left,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.66",34840,left,657,"1",""
"34",test,YELLOW,green,right,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",36170,right,535,"1",""
"17",test,RED,yellow,down,critical,incongruent,"",word,"800",up left right down,"1","","","","",801,48,"16.68",37709,down,741,"1",""
"16",test,RED,blue,up,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",39077,up,576,"1",""
"24",test,GREEN,green,right,critical,congruent,"",word,"800",up left right down,"1","","","","",801,48,"16.69",40449,right,581,"1",""
"26",test,GREEN,green,right,critical,congruent,"",word,"800",up left right down,"1","","","","",801,48,"16.69",42064,right,814,"1",""
"25",test,GREEN,green,right,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",43375,up,524,"0",""
"20",test,BLUE,blue,up,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.66",44787,left,618,"0",""
"14",test,RED,red,left,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",46790,left,1208,"1",""
"32",test,YELLOW,yellow,down,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.66",48343,down,759,"1",""
"35",test,YELLOW,blue,up,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",49950,up,816,"1",""
"30",test,YELLOW,yellow,down,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",51432,down,681,"1",""
"19",test,BLUE,blue,up,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",52966,up,733,"1",""
"31",test,YELLOW,yellow,down,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",54672,down,905,"1",""
"18",test,BLUE,blue,up,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",56129,up,661,"1",""
"28",test,GREEN,blue,up,critical,incongruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",57795,up,879,"1",""
"12",test,RED,red,left,critical,congruent,"",word,"800",up left right down,"1","","","","",800,48,"16.67",59526,left,941,"1",""
"29",test,GREEN,yellow,down,critical,incongruent,"",word,"800",up left right down,"1","","","","",801,48,"16.68",61114,down,798,"1",""
"23",test,BLUE,yellow,down,critical,incongruent,"",word,"800",up left right down,"1","","","","",801,48,"16.68",63753,down,1851,"1",""
"13",test,RED,red,left,critical,congruent,"",word,"800",up left right down,"1","","","","",801,48,"16.68",65715,left,1163,"1",""
"38",test,RED,red,left,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",67086,left,585,"1",""
"46",test,BLUE,green,right,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.66",68695,right,811,"1",""
"40",test,RED,blue,up,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",70279,up,794,"1",""
"50",test,GREEN,green,right,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.66",71730,right,662,"1",""
"58",test,YELLOW,green,right,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",73561,right,1043,"1",""
"56",test,YELLOW,yellow,down,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",75051,down,700,"1",""
"47",test,BLUE,yellow,down,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",76504,down,652,"1",""
"51",test,GREEN,red,left,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",78674,left,1372,"1",""
"39",test,RED,green,right,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",81067,right,1599,"1",""
"49",test,GREEN,green,right,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.66",82357,right,489,"1",""
"55",test,YELLOW,yellow,down,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",84034,down,882,"1",""
"36",test,RED,red,left,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",86051,left,1216,"1",""
"45",test,BLUE,red,left,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",87479,left,628,"1",""
"43",test,BLUE,blue,up,critical,congruent,"",word,"800",up left right down,"2","","","","",799,48,"16.65",89118,up,849,"1",""
"57",test,YELLOW,red,left,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",90719,left,800,"1",""
"37",test,RED,red,left,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",92104,left,585,"1",""
"44",test,BLUE,blue,up,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",94684,up,1782,"1",""
"41",test,RED,yellow,down,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",96569,down,1084,"1",""
"48",test,GREEN,green,right,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",98072,right,704,"1",""
"52",test,GREEN,blue,up,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.66",99975,up,1106,"1",""
"42",test,BLUE,blue,up,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",101260,up,492,"1",""
"53",test,GREEN,yellow,down,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.66",102890,down,839,"1",""
"54",test,YELLOW,yellow,down,critical,congruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",104408,down,723,"1",""
"59",test,YELLOW,blue,up,critical,incongruent,"",word,"800",up left right down,"2","","","","",800,48,"16.67",106705,up,1504,"1",""
"60",form,"","","","","","","","","","",Are you a native speaker of English?,radio,Yes;No,"it's a bit complicated, let me explain",800,"","",119312,No,12084,"0","2"
"61",form,"","","","","","","","","","",How long have you been learning/using English?,radio,0-5;5-10;10-15;15+,"",800,"","",119312,10-15,12084,"0","3"
"62",form,"","","","","","","","","","",How would you rate your English proficiency?,radio,1;2;3;4;5,"",800,"","",119312,"3",12084,"0","3"
"63",form,"","","","","","","","","","",Do you have any colour vision deficiency?,radio,Yes;No,"",800,"","",119312,No,12084,"0","2"
